fanta_role,name,team_code,team_name,value,elo,starter_prob,exp_matches,exp_weighted_matches,base_voto,per_match_pts,etp,mod_proxy,etp_obj,etp_per_credit
m,Cipenga,COD,DR Congo,1,1655,0.84,3.18,3.16,6.188,6.425,17.04,0.0,17.04,17.039
cb,Mbemba,COD,DR Congo,2,1655,0.84,3.18,3.16,6.188,6.042,16.02,1.0,17.02,8.509
cb,Ali H.,IRQ,Iraq,1,1608,0.88,3.02,3.02,6.15,6.109,16.22,0.79,17.02,17.018
st,Cabral J.,CPV,Cape Verde,1,1576,0.84,3.2,3.18,6.124,6.365,17.0,0.0,17.0,17.002
m,Ayari K.,TUN,Tunisia,8,1633,0.88,3.18,3.16,6.17,6.116,16.99,0.0,16.99,2.123
st,Nico Gonzalez,ARG,Argentina,1,2113,0.459,6.79,5.48,6.558,6.752,16.97,0.0,16.97,16.973
cb,Doué G.,CIV,Ivory Coast,6,1676,0.677,3.82,3.72,6.205,6.325,15.92,1.03,16.95,2.825
st,Wood,NZL,New Zealand,2,1585,0.815,3.2,3.18,6.131,6.532,16.92,0.0,16.92,8.462
gk,Vasilj,BOS,Bosnia and Herzegovina,4,1591,0.92,3.63,3.56,6.091,4.897,16.02,0.89,16.91,4.227
st,Williams I.,GHA,Ghana,11,1503,0.88,3.03,3.02,6.065,6.351,16.9,0.0,16.9,1.536
m,Duarte L.,CPV,Cape Verde,1,1576,0.84,3.2,3.18,6.124,6.32,16.88,0.0,16.88,16.882
m,Ito J.,JAP,Japan,5,1906,0.569,4.86,4.47,6.391,6.635,16.86,0.0,16.86,3.373
m,Mbuku,COD,DR Congo,2,1655,0.86,3.18,3.16,6.188,6.205,16.85,0.0,16.85,8.423
cb,Elmali,TUR,Turkey,3,1906,0.5,5.12,4.65,6.391,6.455,15.01,1.82,16.83,5.61
m,Diaz B.,MAR,Morocco,10,1822,0.639,4.28,4.08,6.323,6.449,16.82,0.0,16.82,1.682
gk,Abulaila,GRD,Jordan,1,1685,0.92,3.3,3.27,6.141,5.169,15.53,1.27,16.8,16.801
m,Zizo,EGY,Egypt,2,1699,0.695,3.86,3.75,6.223,6.446,16.79,0.0,16.79,8.396
cb,Abdelmaguid,EGY,Egypt,1,1699,0.671,3.86,3.75,6.223,6.219,15.65,1.12,16.77,16.775
st,Al-Ganehi,QAT,Qatar,1,1423,0.88,3.06,3.06,6.0,6.234,16.76,0.0,16.76,16.763
cb,Batubinsika,COD,DR Congo,1,1655,0.82,3.18,3.16,6.188,6.094,15.78,0.97,16.75,16.749
cb,Diney,CPV,Cape Verde,1,1576,0.84,3.2,3.18,6.124,6.025,16.09,0.66,16.75,16.754
st,Foster,SAF,South Africa,3,1517,0.88,3.06,3.05,6.076,6.223,16.73,0.0,16.73,5.575
st,Barcenas,PAN,Panama,1,1733,0.681,3.81,3.71,6.251,6.617,16.73,0.0,16.73,16.727
st,Makgopa,SAF,South Africa,1,1517,0.84,3.06,3.05,6.076,6.519,16.73,0.0,16.73,16.726
m,Bajraktarevic,BOS,Bosnia and Herzegovina,2,1591,0.755,3.63,3.56,6.136,6.224,16.71,0.0,16.71,8.355
st,Amdouni,SVI,Switzerland,2,1894,0.55,5.15,4.69,6.381,6.457,16.66,0.0,16.66,8.331
cb,Okon,SAF,South Africa,2,1517,0.88,3.06,3.05,6.076,6.035,16.22,0.41,16.63,8.315
m,Kakuta,COD,DR Congo,1,1655,0.8,3.18,3.16,6.188,6.582,16.63,0.0,16.63,16.625
st,Elloumi,TUN,Tunisia,1,1633,0.84,3.18,3.16,6.17,6.27,16.62,0.0,16.62,16.622
m,Hannibal,TUN,Tunisia,7,1633,0.86,3.18,3.16,6.17,6.116,16.6,0.0,16.6,2.371
st,Alaaeldin,QAT,Qatar,1,1423,0.84,3.06,3.06,6.0,6.468,16.6,0.0,16.6,16.604
cb,Ben Hamida,TUN,Tunisia,1,1633,0.82,3.18,3.16,6.17,6.048,15.65,0.88,16.53,16.53
st,Endrick,BRA,Brazil,14,1988,0.5,5.35,4.76,6.457,6.953,16.53,0.0,16.53,1.181
cb,Comert,SVI,Switzerland,2,1894,0.5,5.15,4.69,6.381,6.282,14.74,1.79,16.52,8.262
cb,Al-Shamat,SAU,Saudi Arabia,1,1566,0.82,3.18,3.16,6.116,6.127,15.89,0.6,16.49,16.489
m,Al-Hejji,SAU,Saudi Arabia,1,1566,0.84,3.18,3.16,6.116,6.196,16.46,0.0,16.46,16.458
cb,Mazraoui,MAR,Morocco,9,1822,0.591,4.28,4.08,6.323,6.177,14.89,1.56,16.45,1.828
cb,Fernandes P.,CPV,Cape Verde,1,1576,0.82,3.2,3.18,6.124,6.058,15.8,0.65,16.44,16.44
m,Fatawu,GHA,Ghana,5,1503,0.84,3.03,3.02,6.065,6.459,16.41,0.0,16.41,3.282
m,Qasem,IRQ,Iraq,2,1608,0.88,3.02,3.02,6.15,6.177,16.41,0.0,16.41,8.203
gk,Montero,COL,Colombia,5,1977,0.5,5.3,4.75,6.299,6.015,14.27,2.13,16.4,3.28
cb,Rudiger,GER,Germany,13,1925,0.5,5.05,4.6,6.406,6.313,14.52,1.87,16.39,1.261
cb,Blackman,PAN,Panama,1,1733,0.661,3.81,3.71,6.251,6.176,15.15,1.23,16.38,16.384
m,Achouri,TUN,Tunisia,3,1633,0.8,3.18,3.16,6.17,6.484,16.37,0.0,16.37,5.457
st,Woltemade,GER,Germany,12,1925,0.5,5.05,4.6,6.406,7.112,16.36,0.0,16.36,1.364
st,Vinas,URU,Uruguay,2,1892,0.6,4.29,4.09,6.379,6.668,16.36,0.0,16.36,8.18
cb,Ade,HAI,Haiti,1,1532,0.88,3.03,3.03,6.088,5.966,15.88,0.47,16.35,16.353
cb,Comenencia,CUW,Curacao,3,1433,0.88,3.02,3.02,6.008,6.136,16.3,0.04,16.34,5.448
st,Hansen,CUW,Curacao,1,1433,0.88,3.02,3.02,6.008,6.137,16.3,0.0,16.3,16.302
m,Etienne Jr.,HAI,Haiti,3,1532,0.88,3.03,3.03,6.088,6.116,16.28,0.0,16.28,5.427
cb,Senaya,GHA,Ghana,6,1503,0.88,3.03,3.02,6.065,5.971,15.89,0.34,16.24,2.706
m,Conceicao F.,POR,Portugal,12,1984,0.5,5.4,4.81,6.454,6.745,16.21,0.0,16.21,1.351
cb,Dest,USA,United States,10,1733,0.681,3.55,3.47,6.251,6.335,14.99,1.19,16.17,1.617
