fanta_role,name,team_name,value,club_goals_current_season,national_goals_current_season,national_appearances_current_season,national_team_matches_current_season,national_presence_ratio_current_season,transfermarkt_player_url,transfermarkt_match_status
cb,Danilo,BRA,7,1,0,4,10,0.4,https://www.transfermarkt.it/danilo/profil/spieler/145707,matched_alias_position
cb,De Cuyper,BEL,7,2,0,4,10,0.4,https://www.transfermarkt.it/maxim-de-cuyper/profil/spieler/429915,matched_alias
cb,Dedic,BOS,7,1,0,5,10,0.5,https://www.transfermarkt.it/amar-dedic/profil/spieler/519184,matched_alias
cb,Demiral,TUR,7,2,0,2,10,0.2,https://www.transfermarkt.it/merih-demiral/profil/spieler/340879,matched_alias
cb,Gimenez J.,URU,7,1,0,3,10,0.3,https://www.transfermarkt.it/jose-maria-gimenez/profil/spieler/250845,matched_alias
cb,Kalulu,COD,7,0,0,2,18,0.111,https://www.transfermarkt.it/gedeon-kalulu/profil/spieler/395685,matched_alias
cb,Khusanov,UZB,7,0,0,5,12,0.417,https://www.transfermarkt.it/abdukodir-khusanov/profil/spieler/763079,matched_alias
cb,Ordonez,ECU,7,,,,10,,,ambiguous_alias
cb,Robertson,SCO,7,3,0,4,10,0.4,https://www.transfermarkt.it/andrew-robertson/profil/spieler/234803,matched_alias
cb,Robinson A.,USA,7,1,1,4,18,0.222,https://www.transfermarkt.it/antonee-robinson/profil/spieler/349701,matched_alias
cb,Ryerson,NOR,7,0,0,5,10,0.5,https://www.transfermarkt.it/julian-ryerson/profil/spieler/370789,matched_alias
cb,Singo,CIV,7,2,1,3,13,0.231,https://www.transfermarkt.it/wilfried-singo/profil/spieler/648779,matched_alias
cb,Ajer,NOR,6,0,0,5,10,0.5,https://www.transfermarkt.it/kristoffer-ajer/profil/spieler/328658,matched_alias
cb,Anton,GER,6,3,0,1,10,0.1,https://www.transfermarkt.it/waldemar-anton/profil/spieler/193004,matched_alias
cb,Bardakci,TUR,6,1,0,3,10,0.3,https://www.transfermarkt.it/abdulkerim-bardakci/profil/spieler/199316,matched_alias
cb,Castagne,BEL,6,0,0,3,10,0.3,https://www.transfermarkt.it/timothy-castagne/profil/spieler/262226,matched_alias
cb,Danso,AUT,6,0,0,2,10,0.2,https://www.transfermarkt.it/kevin-danso/profil/spieler/263236,matched_alias
cb,De Winter,BEL,6,1,0,3,10,0.3,https://www.transfermarkt.it/koni-de-winter/profil/spieler/490384,matched_alias
cb,Douglas Santos,BRA,6,2,0,5,10,0.5,https://www.transfermarkt.it/douglas-santos/profil/spieler/220793,matched_alias
cb,Doué G.,CIV,6,2,1,5,13,0.385,https://www.transfermarkt.it/guela-doue/profil/spieler/711980,matched_alias
cb,Hickey,SCO,6,1,0,2,10,0.2,https://www.transfermarkt.it/aaron-hickey/profil/spieler/591949,matched_alias
cb,Hien,SVE,6,1,0,3,10,0.3,https://www.transfermarkt.it/isak-hien/profil/spieler/503075,matched_alias
cb,Ito H.,JAP,6,1,0,3,13,0.231,https://www.transfermarkt.it/hiroki-ito/profil/spieler/353892,matched_alias
cb,Kossounou,CIV,6,1,0,3,13,0.231,https://www.transfermarkt.it/odilon-kossounou/profil/spieler/644771,matched_alias
cb,Krejci,RCE,6,2,2,4,10,0.4,https://www.transfermarkt.it/ladislav-krejci/profil/spieler/345911,matched_alias
cb,Laporte,SPA,6,0,0,3,10,0.3,https://www.transfermarkt.it/aymeric-laporte/profil/spieler/176553,matched_alias
cb,Medina,ARG,6,0,0,2,9,0.222,https://www.transfermarkt.it/facundo-medina/profil/spieler/474800,matched_alias
cb,Niakhate,SEN,6,1,0,4,19,0.211,https://www.transfermarkt.it/moussa-niakhate/profil/spieler/291200,matched_alias
cb,Otamendi,ARG,6,3,1,4,9,0.444,https://www.transfermarkt.it/nicolas-otamendi/profil/spieler/54781,matched_alias
cb,Senaya,GHA,6,1,0,2,10,0.2,https://www.transfermarkt.it/marvin-senaya/profil/spieler/830890,matched_alias
cb,Balerdi,ARG,5,1,0,2,9,0.222,https://www.transfermarkt.it/leonardo-balerdi/profil/spieler/575998,matched_alias
cb,Costa L.,CPV,5,0,0,2,10,0.2,https://www.transfermarkt.it/logan-costa/profil/spieler/484988,matched_alias
cb,El Ouahdi,MAR,5,12,0,2,26,0.077,https://www.transfermarkt.it/zakaria-el-ouahdi/profil/spieler/820474,matched_alias
cb,Heggem,NOR,5,0,0,4,10,0.4,https://www.transfermarkt.it/torbjorn-heggem/profil/spieler/464469,matched_alias
cb,Leo Pereira,BRA,5,2,0,4,10,0.4,https://www.transfermarkt.it/leo-pereira/profil/spieler/288431,matched_alias
cb,Tierney,SCO,5,6,0,3,10,0.3,https://www.transfermarkt.it/kieran-tierney/profil/spieler/300716,matched_alias
